SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,Remark
505,4,W41709552069685-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30465519,76.49173256,48,27,10_50,22,Good,Ward 4,Pravin More,Good
506,4,W41709552071769-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30464095,76.49177011,41,23,10_50,18,Good,Ward 4,Pravin More,Good
507,4,W41709552072752-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30460836,76.49173457,49,28,10_50,22,Good,Ward 4,Pravin More,Good
508,4,W41709552074233-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30458146,76.49168998,51,29,10_50,23,Good,Ward 4,Pravin More,Good
509,4,W41709552074999-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3045533,76.49167288,58,33,10_50,26,Good,Ward 4,Pravin More,Good
510,4,W41709552077977-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30448907,76.49166517,50,29,10_50,22,Good,Ward 4,Pravin More,Good
511,4,W41709552078759-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30445901,76.49167389,58,33,10_50,26,Good,Ward 4,Pravin More,Good
512,4,W41709552079934-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30443053,76.49167322,65,37,10_50,29,Good,Ward 4,Pravin More,Good
513,4,W41709552080836-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30443085,76.49170473,62,35,10_50,28,Good,Ward 4,Pravin More,Good
514,4,W41709552081564-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30446375,76.49171781,45,26,10_50,20,Good,Ward 4,Pravin More,Good
515,4,W41709552082329-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30450584,76.491694,57,33,10_50,26,Good,Ward 4,Pravin More,Good
516,4,W41709552082996-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30453843,76.49170205,54,31,10_50,24,Good,Ward 4,Pravin More,Good
517,4,W41709552084090-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30456185,76.49172619,62,35,10_50,28,Good,Ward 4,Pravin More,Good
518,4,W41709552084793-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30458779,76.49175301,74,42,10_50,33,Good,Ward 4,Pravin More,Good
519,4,W41709552085522-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30461057,76.49177145,72,41,10_50,32,Good,Ward 4,Pravin More,Good
520,4,W41709552086927-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30464348,76.49179928,52,30,10_50,23,Good,Ward 4,Pravin More,Good
521,4,W41709552088686-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30458906,76.49180096,62,35,10_50,28,Good,Ward 4,Pravin More,Good
522,4,W41709552089351-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30455583,76.49176106,62,35,10_50,28,Good,Ward 4,Pravin More,Good
523,4,W41709552090623-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30453178,76.49173021,53,30,10_50,24,Good,Ward 4,Pravin More,Good
524,4,W41709552091294-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30449951,76.49173256,47,27,10_50,21,Good,Ward 4,Pravin More,Good
525,4,W41709552092730-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30441882,76.49173256,48,27,10_50,22,Good,Ward 4,Pravin More,Good
526,4,W41709552093425-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30445363,76.49174295,41,23,10_50,18,Good,Ward 4,Pravin More,Good
527,4,W41709552094094-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30448021,76.49176408,49,28,10_50,22,Good,Ward 4,Pravin More,Good
528,4,W41709552095786-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30454761,76.49179962,58,33,10_50,26,Good,Ward 4,Pravin More,Good
529,4,W41709552096439-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30457197,76.49182644,59,34,10_50,26,Good,Ward 4,Pravin More,Good
530,4,W41709552098328-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30456691,76.49185762,58,33,10_50,26,Good,Ward 4,Pravin More,Good
531,4,W41709552098996-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30453811,76.49182811,65,37,10_50,29,Good,Ward 4,Pravin More,Good
532,4,W41709552099599-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30450995,76.49181068,62,35,10_50,28,Good,Ward 4,Pravin More,Good
533,4,W41709552100251-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30448369,76.49179626,65,37,10_50,29,Good,Ward 4,Pravin More,Good
534,4,W41709552101440-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30445584,76.4917748,58,33,10_50,26,Good,Ward 4,Pravin More,Good
535,4,W41709552103191-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3044087,76.49177246,52,30,10_50,23,Good,Ward 4,Pravin More,Good
536,4,W41709552103903-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30439477,76.49179995,49,28,10_50,22,Good,Ward 4,Pravin More,Good
537,4,W41709552104551-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30443401,76.49180062,45,26,10_50,20,Good,Ward 4,Pravin More,Good
538,4,W41709552105172-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3044628,76.49181537,72,41,10_50,32,Good,Ward 4,Pravin More,Good
539,4,W41709552107422-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30454223,76.49187572,62,35,10_50,28,Good,Ward 4,Pravin More,Good
540,4,W41709552108508-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30456628,76.49189249,62,35,10_50,28,Good,Ward 4,Pravin More,Good
541,4,W41709552109199-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30460456,76.49188176,53,30,10_50,24,Good,Ward 4,Pravin More,Good
542,4,W41709552109995-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30462545,76.49190892,47,27,10_50,21,Good,Ward 4,Pravin More,Good
543,4,W41709552110716-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30463083,76.49194479,48,27,10_50,22,Good,Ward 4,Pravin More,Good
544,4,W41709552111493-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30458937,76.49192031,41,23,10_50,18,Good,Ward 4,Pravin More,Good
545,4,W41709552115926-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30459127,76.49196122,49,28,10_50,22,Good,Ward 4,Pravin More,Good
546,4,W41709552119645-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30456185,76.49193071,51,29,10_50,23,Good,Ward 4,Pravin More,Good
547,4,W41709552120354-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30452672,76.49189685,58,33,10_50,26,Good,Ward 4,Pravin More,Good
548,4,W41709552121593-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30450236,76.49186868,59,34,10_50,26,Good,Ward 4,Pravin More,Good
549,4,W41709552122280-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30446945,76.49184722,50,29,10_50,22,Good,Ward 4,Pravin More,Good
550,4,W41709552123570-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30444097,76.49183113,58,33,10_50,26,Good,Ward 4,Pravin More,Good
551,4,W41709552124285-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30441059,76.49182644,65,37,10_50,29,Good,Ward 4,Pravin More,Good
552,4,W41709552125181-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30438465,76.49184119,62,35,10_50,28,Good,Ward 4,Pravin More,Good
553,4,W41709552125915-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30441186,76.49185427,65,37,10_50,29,Good,Ward 4,Pravin More,Good
554,4,W41709552126591-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30444635,76.49186131,58,33,10_50,26,Good,Ward 4,Pravin More,Good
555,4,W41709552127413-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30447293,76.49187975,52,30,10_50,23,Good,Ward 4,Pravin More,Good
556,4,W41709552128112-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30449286,76.49190489,49,28,10_50,22,Good,Ward 4,Pravin More,Good
557,4,W41709552129303-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30452514,76.49193171,45,26,10_50,20,Good,Ward 4,Pravin More,Good
558,4,W41709552130734-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30453052,76.49195854,54,31,10_50,24,Good,Ward 4,Pravin More,Good
559,4,W41709552131400-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30447546,76.49195015,62,35,10_50,28,Good,Ward 4,Pravin More,Good
560,4,W41709552132056-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30450615,76.49198201,74,42,10_50,33,Good,Ward 4,Pravin More,Good
561,4,W41709552132623-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30443021,76.4918945,72,41,10_50,32,Good,Ward 4,Pravin More,Good
562,4,W41709552133310-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30446217,76.49197027,52,30,10_50,23,Good,Ward 4,Pravin More,Good
563,4,W41709552133895-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30441692,76.49192736,65,37,10_50,29,Good,Ward 4,Pravin More,Good
564,4,W41709552135180-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30436503,76.49192769,62,35,10_50,28,Good,Ward 4,Pravin More,Good
565,4,W41709552136348-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30436883,76.49186164,62,35,10_50,28,Good,Ward 4,Pravin More,Good
566,4,W41709552137542-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30439667,76.49198435,53,30,10_50,24,Good,Ward 4,Pravin More,Good
567,4,W41709552138227-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30445489,76.49199173,47,27,10_50,21,Good,Ward 4,Pravin More,Good
568,4,W41709552140784-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30435206,76.49211042,48,27,10_50,22,Good,Ward 4,Pravin More,Good
569,4,W41709552141417-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30429067,76.49209265,41,23,10_50,18,Good,Ward 4,Pravin More,Good
570,4,W41709552143403-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30434161,76.49215132,58,33,10_50,26,Good,Ward 4,Pravin More,Good
571,4,W41709552144412-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30431029,76.49214562,59,34,10_50,26,Good,Ward 4,Pravin More,Good
572,4,W41709552145389-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30438243,76.49215467,50,29,10_50,22,Good,Ward 4,Pravin More,Good
573,4,W41709552246869-akK0O,Tamarind Tree,Tamarindus indica,19.30336354,76.49126183,58,33,10_50,26,Good,Ward 4,Pravin More,Good
574,4,W41709552247384-akK0O,Tamarind Tree,Tamarindus indica,19.30339392,76.49128664,65,37,10_50,29,Good,Ward 4,Pravin More,Good
575,4,W41709552247886-akK0O,Tamarind Tree,Tamarindus indica,19.30344708,76.49147507,62,35,10_50,28,Good,Ward 4,Pravin More,Good
576,4,W41709552248609-akK0O,Tamarind Tree,Tamarindus indica,19.30334803,76.49144489,45,26,10_50,20,Good,Ward 4,Pravin More,Good
577,4,W41709552249826-akK0O,Tamarind Tree,Tamarindus indica,19.30335848,76.49148144,57,33,10_50,26,Good,Ward 4,Pravin More,Good
578,4,W41709552250132-akK0O,Tamarind Tree,Tamarindus indica,19.30348093,76.49154883,54,31,10_50,24,Good,Ward 4,Pravin More,Good
579,4,W41709552250591-akK0O,Tamarind Tree,Tamarindus indica,19.3034167,76.4915096,62,35,10_50,28,Good,Ward 4,Pravin More,Good
580,4,W41709552251057-akK0O,Tamarind Tree,Tamarindus indica,19.30344897,76.49159275,74,42,10_50,33,Good,Ward 4,Pravin More,Good
581,4,W41709552252779-akK0O,Tamarind Tree,Tamarindus indica,19.30344265,76.49165478,72,41,10_50,32,Good,Ward 4,Pravin More,Good
582,4,W41709552253090-akK0O,Tamarind Tree,Tamarindus indica,19.30348916,76.49171479,52,30,10_50,23,Good,Ward 4,Pravin More,Good
583,4,W41709552255435-akK0O,Tamarind Tree,Tamarindus indica,19.30359137,76.49183549,65,37,10_50,29,Good,Ward 4,Pravin More,Good
584,4,W41709552255838-akK0O,Tamarind Tree,Tamarindus indica,19.30341037,76.49179358,62,35,10_50,28,Good,Ward 4,Pravin More,Good
585,4,W41709552256347-akK0O,Tamarind Tree,Tamarindus indica,19.30342113,76.4918888,62,35,10_50,28,Good,Ward 4,Pravin More,Good
586,4,W41709552258099-akK0O,Tamarind Tree,Tamarindus indica,19.30344866,76.49209499,47,27,10_50,21,Good,Ward 4,Pravin More,Good
587,4,W41709552259469-akK0O,Tamarind Tree,Tamarindus indica,19.30338284,76.49197496,41,23,10_50,18,Good,Ward 4,Pravin More,Good
588,4,W41709552259941-akK0O,Tamarind Tree,Tamarindus indica,19.30340436,76.49236221,49,28,10_50,22,Good,Ward 4,Pravin More,Good
589,4,W41709552260356-akK0O,Tamarind Tree,Tamarindus indica,19.30338063,76.49218686,51,29,10_50,23,Good,Ward 4,Pravin More,Good
590,4,W41709552261532-akK0O,Tamarind Tree,Tamarindus indica,19.30335025,76.49246011,58,33,10_50,26,Good,Ward 4,Pravin More,Good
591,4,W41709552262084-akK0O,Tamarind Tree,Tamarindus indica,19.30338063,76.4925617,59,34,10_50,26,Good,Ward 4,Pravin More,Good
592,4,W41709552262982-akK0O,Tamarind Tree,Tamarindus indica,19.30336291,76.49265423,50,29,10_50,22,Good,Ward 4,Pravin More,Good
593,4,W41709552263777-akK0O,Tamarind Tree,Tamarindus indica,19.30331861,76.49229247,58,33,10_50,26,Good,Ward 4,Pravin More,Good
594,4,W41709552267692-akK0O,Tamarind Tree,Tamarindus indica,19.30322811,76.49305321,62,35,10_50,28,Good,Ward 4,Pravin More,Good
595,4,W41709552268051-akK0O,Tamarind Tree,Tamarindus indica,19.30315122,76.49315648,65,37,10_50,29,Good,Ward 4,Pravin More,Good
596,4,W41709552272053-akK0O,Tamarind Tree,Tamarindus indica,19.30310976,76.49348069,58,33,10_50,26,Good,Ward 4,Pravin More,Good
597,4,W41709552272526-akK0O,Tamarind Tree,Tamarindus indica,19.303043,76.49348941,52,30,10_50,23,Good,Ward 4,Pravin More,Good
598,4,W41709552273663-akK0O,Tamarind Tree,Tamarindus indica,19.30305154,76.49360105,49,28,10_50,22,Good,Ward 4,Pravin More,Good
599,4,W41709552274185-akK0O,Tamarind Tree,Tamarindus indica,19.30300408,76.4937593,45,26,10_50,20,Good,Ward 4,Pravin More,Good
600,4,W41709552275326-akK0O,Tamarind Tree,Tamarindus indica,19.30290472,76.4937583,72,41,10_50,32,Good,Ward 4,Pravin More,Good
601,4,W41709552275840-akK0O,Tamarind Tree,Tamarindus indica,19.3029718,76.49391387,52,30,10_50,23,Good,Ward 4,Pravin More,Good
602,4,W41709552276427-akK0O,Tamarind Tree,Tamarindus indica,19.30291421,76.49388704,65,37,10_50,29,Good,Ward 4,Pravin More,Good
603,4,W41709552277579-akK0O,Tamarind Tree,Tamarindus indica,19.30301135,76.49411034,62,35,10_50,28,Good,Ward 4,Pravin More,Good
604,4,W41709552278072-akK0O,Tamarind Tree,Tamarindus indica,19.30293858,76.49408385,62,35,10_50,28,Good,Ward 4,Pravin More,Good
605,4,W41709552286740-akK0O,Tamarind Tree,Tamarindus indica,19.30149123,76.49229649,58,33,10_50,26,Good,Ward 4,Pravin More,Good
606,4,W41709552288762-akK0O,Tamarind Tree,Tamarindus indica,19.30217535,76.49144456,65,37,10_50,29,Good,Ward 4,Pravin More,Good
607,4,W41709552289187-akK0O,Tamarind Tree,Tamarindus indica,19.30212504,76.49123333,62,35,10_50,28,Good,Ward 4,Pravin More,Good
608,4,W41709552289590-akK0O,Tamarind Tree,Tamarindus indica,19.3020241,76.49106871,65,37,10_50,29,Good,Ward 4,Pravin More,Good
609,4,W41709552290791-akK0O,Tamarind Tree,Tamarindus indica,19.3020684,76.49113778,52,30,10_50,23,Good,Ward 4,Pravin More,Good
610,4,W41709552291100-akK0O,Tamarind Tree,Tamarindus indica,19.30217788,76.49132084,49,28,10_50,22,Good,Ward 4,Pravin More,Good
611,4,W41709552293440-akK0O,Tamarind Tree,Tamarindus indica,19.3022592,76.4917624,57,33,10_50,26,Good,Ward 4,Pravin More,Good
612,4,W41709552294307-akK0O,Tamarind Tree,Tamarindus indica,19.30234591,76.49159778,54,31,10_50,24,Good,Ward 4,Pravin More,Good
613,4,W41709552307464-akK0O,Neem Tree,Azadirachta indica,19.30383375,76.49147373,62,35,10_50,28,Good,Ward 4,Pravin More,Good
614,4,W41709552308793-akK0O,Neem Tree,Azadirachta indica,19.30375085,76.49153307,52,30,10_50,23,Good,Ward 4,Pravin More,Good
615,4,W41709552309255-akK0O,Neem Tree,Azadirachta indica,19.30383565,76.49153374,65,37,10_50,29,Good,Ward 4,Pravin More,Good
616,4,W41709552315547-akK0O,Neem Tree,Azadirachta indica,19.30334107,76.49130207,62,35,10_50,28,Good,Ward 4,Pravin More,Good
617,4,W41709552315934-akK0O,Neem Tree,Azadirachta indica,19.30338506,76.49133559,62,35,10_50,28,Good,Ward 4,Pravin More,Good
618,4,W41709552316487-akK0O,Neem Tree,Azadirachta indica,19.30331702,76.49144959,53,30,10_50,24,Good,Ward 4,Pravin More,Good
619,4,W41709552316859-akK0O,Neem Tree,Azadirachta indica,19.30334582,76.49150524,47,27,10_50,21,Good,Ward 4,Pravin More,Good
620,4,W41709552323239-akK0O,Neem Tree,Azadirachta indica,19.3034765,76.49151765,41,23,10_50,18,Good,Ward 4,Pravin More,Good
621,4,W41709552323724-akK0O,Neem Tree,Azadirachta indica,19.30340974,76.49158336,49,28,10_50,22,Good,Ward 4,Pravin More,Good
622,4,W41709552324229-akK0O,Neem Tree,Azadirachta indica,19.30352618,76.49158068,51,29,10_50,23,Good,Ward 4,Pravin More,Good
623,4,W41709552325663-akK0O,Neem Tree,Azadirachta indica,19.30344075,76.49172921,58,33,10_50,26,Good,Ward 4,Pravin More,Good
624,4,W41709552326199-akK0O,Neem Tree,Azadirachta indica,19.30355783,76.49175938,59,34,10_50,26,Good,Ward 4,Pravin More,Good
625,4,W41709552326667-akK0O,Neem Tree,Azadirachta indica,19.30349929,76.49176542,50,29,10_50,22,Good,Ward 4,Pravin More,Good
626,4,W41709552327386-akK0O,Neem Tree,Azadirachta indica,19.30353947,76.49183951,28,16,10_50,13,Good,Ward 4,Pravin More,Good
627,4,W41709552328816-akK0O,Neem Tree,Azadirachta indica,19.303567,76.49188612,26,15,10_50,12,Good,Ward 4,Pravin More,Good
628,4,W41709552330280-akK0O,Neem Tree,Azadirachta indica,19.30337208,76.49187136,27,15,10_50,12,Good,Ward 4,Pravin More,Good
629,4,W41709552330945-akK0O,Neem Tree,Azadirachta indica,19.30337936,76.49182376,42,24,10_50,19,Good,Ward 4,Pravin More,Good
630,4,W41709552331384-akK0O,Neem Tree,Azadirachta indica,19.3034417,76.4919572,49,28,10_50,22,Good,Ward 4,Pravin More,Good
631,4,W41709552331878-akK0O,Neem Tree,Azadirachta indica,19.3034996,76.49187472,45,26,10_50,20,Good,Ward 4,Pravin More,Good
632,4,W41709552332426-akK0O,Neem Tree,Azadirachta indica,19.30352808,76.49197228,62,35,10_50,28,Good,Ward 4,Pravin More,Good
633,4,W41709552333075-akK0O,Neem Tree,Azadirachta indica,19.30349612,76.4919287,74,42,10_50,33,Good,Ward 4,Pravin More,Good
634,4,W41709552334444-akK0O,Neem Tree,Azadirachta indica,19.30347207,76.49200916,72,41,10_50,32,Good,Ward 4,Pravin More,Good
635,4,W41709552334829-akK0O,Neem Tree,Azadirachta indica,19.30337936,76.49202626,52,30,10_50,23,Good,Ward 4,Pravin More,Good
636,4,W41709552335432-akK0O,Neem Tree,Azadirachta indica,19.30347461,76.49205107,65,37,10_50,29,Good,Ward 4,Pravin More,Good
637,4,W41709552336714-akK0O,Neem Tree,Azadirachta indica,19.3035034,76.4921473,62,35,10_50,28,Good,Ward 4,Pravin More,Good
638,4,W41709552337059-akK0O,Neem Tree,Azadirachta indica,19.30346448,76.49219558,62,35,10_50,28,Good,Ward 4,Pravin More,Good
639,4,W41709552337527-akK0O,Neem Tree,Azadirachta indica,19.30344486,76.49214562,53,30,10_50,24,Good,Ward 4,Pravin More,Good
640,4,W41709552337950-akK0O,Neem Tree,Azadirachta indica,19.30335278,76.49219524,47,27,10_50,21,Good,Ward 4,Pravin More,Good
641,4,W41709552340308-akK0O,Neem Tree,Azadirachta indica,19.30333981,76.49224117,41,23,10_50,18,Good,Ward 4,Pravin More,Good
642,4,W41709552341688-akK0O,Neem Tree,Azadirachta indica,19.30338632,76.49232466,49,28,10_50,22,Good,Ward 4,Pravin More,Good
643,4,W41709552342487-akK0O,Neem Tree,Azadirachta indica,19.30341891,76.49222508,51,29,10_50,23,Good,Ward 4,Pravin More,Good
644,4,W41709552344328-akK0O,Neem Tree,Azadirachta indica,19.30361447,76.49218652,58,33,10_50,26,Good,Ward 4,Pravin More,Good
645,4,W41709552345723-akK0O,Neem Tree,Azadirachta indica,19.30333696,76.49238836,59,34,10_50,26,Good,Ward 4,Pravin More,Good
646,4,W41709552346050-akK0O,Neem Tree,Azadirachta indica,19.30321925,76.49251878,50,29,10_50,22,Good,Ward 4,Pravin More,Good
647,4,W41709552346556-akK0O,Neem Tree,Azadirachta indica,19.30329804,76.4924353,58,33,10_50,26,Good,Ward 4,Pravin More,Good
648,4,W41709552346925-akK0O,Neem Tree,Azadirachta indica,19.30326703,76.49236154,65,37,10_50,29,Good,Ward 4,Pravin More,Good
649,4,W41709552347234-akK0O,Neem Tree,Azadirachta indica,19.30333158,76.49252549,62,35,10_50,28,Good,Ward 4,Pravin More,Good
650,4,W41709552348586-akK0O,Neem Tree,Azadirachta indica,19.30321165,76.49269681,65,37,10_50,29,Good,Ward 4,Pravin More,Good
651,4,W41709552349173-akK0O,Neem Tree,Azadirachta indica,19.30322241,76.49261467,58,33,10_50,26,Good,Ward 4,Pravin More,Good
652,4,W41709552349645-akK0O,Neem Tree,Azadirachta indica,19.30364136,76.49270955,52,30,10_50,23,Good,Ward 4,Pravin More,Good
653,4,W41709552352585-akK0O,Neem Tree,Azadirachta indica,19.30329741,76.49272129,49,28,10_50,22,Good,Ward 4,Pravin More,Good
654,4,W41709552353007-akK0O,Neem Tree,Azadirachta indica,19.30328222,76.49282388,45,26,10_50,20,Good,Ward 4,Pravin More,Good
655,4,W41709552354440-akK0O,Neem Tree,Azadirachta indica,19.30309995,76.49312463,72,41,10_50,32,Good,Ward 4,Pravin More,Good
656,4,W41709552355009-akK0O,Neem Tree,Azadirachta indica,19.30318223,76.49302036,52,30,10_50,23,Good,Ward 4,Pravin More,Good
657,4,W41709552355515-akK0O,Neem Tree,Azadirachta indica,19.30309268,76.49322756,65,37,10_50,29,Good,Ward 4,Pravin More,Good
658,4,W41709552356797-akK0O,Neem Tree,Azadirachta indica,19.30311166,76.49332713,62,35,10_50,28,Good,Ward 4,Pravin More,Good
659,4,W41709552358339-akK0O,Neem Tree,Azadirachta indica,19.3029968,76.49351656,62,35,10_50,28,Good,Ward 4,Pravin More,Good
660,4,W41709552358802-akK0O,Neem Tree,Azadirachta indica,19.30299174,76.49360072,53,30,10_50,24,Good,Ward 4,Pravin More,Good
661,4,W41709552360017-akK0O,Neem Tree,Azadirachta indica,19.3029582,76.49369694,47,27,10_50,21,Good,Ward 4,Pravin More,Good
662,4,W41709552360360-akK0O,Neem Tree,Azadirachta indica,19.30288194,76.49385821,48,27,10_50,22,Good,Ward 4,Pravin More,Good
663,4,W41709552361057-akK0O,Neem Tree,Azadirachta indica,19.3029794,76.49381965,41,23,10_50,18,Good,Ward 4,Pravin More,Good
664,4,W41709552362456-akK0O,Neem Tree,Azadirachta indica,19.30293225,76.49400674,49,28,10_50,22,Good,Ward 4,Pravin More,Good
665,4,W41709552362765-akK0O,Neem Tree,Azadirachta indica,19.30283985,76.49409894,51,29,10_50,23,Good,Ward 4,Pravin More,Good
666,4,W41709552371439-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30298224,76.49413884,58,33,10_50,26,Good,Ward 4,Pravin More,Good
667,4,W41709552372026-akK0O,Gum Arabic Tree,Vachellia nilotica,19.302993,76.49407379,59,34,10_50,26,Good,Ward 4,Pravin More,Good
668,4,W41709552372495-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30293288,76.49413012,50,29,10_50,22,Good,Ward 4,Pravin More,Good
669,4,W41709552372917-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30292497,76.49405703,58,33,10_50,26,Good,Ward 4,Pravin More,Good
670,4,W41709552374119-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30279713,76.4940986,65,37,10_50,29,Good,Ward 4,Pravin More,Good
671,4,W41709552378264-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30294332,76.49394907,62,35,10_50,28,Good,Ward 4,Pravin More,Good
672,4,W41709552379030-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30294522,76.49383575,65,37,10_50,29,Good,Ward 4,Pravin More,Good
673,4,W41709552381029-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3029101,76.4938039,58,33,10_50,26,Good,Ward 4,Pravin More,Good
674,4,W41709552384057-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30288668,76.49374019,52,30,10_50,23,Good,Ward 4,Pravin More,Good
675,4,W41709552384837-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30296927,76.49374858,49,28,10_50,22,Good,Ward 4,Pravin More,Good
676,4,W41709552386072-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30301705,76.49371471,45,26,10_50,20,Good,Ward 4,Pravin More,Good
677,4,W41709552387552-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30305091,76.49364766,57,33,10_50,26,Good,Ward 4,Pravin More,Good
678,4,W41709552388168-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30303825,76.49357054,54,31,10_50,24,Good,Ward 4,Pravin More,Good
679,4,W41709552388804-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30295978,76.49358831,62,35,10_50,28,Good,Ward 4,Pravin More,Good
680,4,W41709552389600-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30297845,76.49349444,74,42,10_50,33,Good,Ward 4,Pravin More,Good
681,4,W41709552391016-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3030237,76.4934599,72,41,10_50,32,Good,Ward 4,Pravin More,Good
682,4,W41709552392645-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30308223,76.49335563,52,30,10_50,23,Good,Ward 4,Pravin More,Good
683,4,W41709552393224-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30307907,76.4932641,65,37,10_50,29,Good,Ward 4,Pravin More,Good
684,4,W41709552393968-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30313856,76.49328019,62,35,10_50,28,Good,Ward 4,Pravin More,Good
685,4,W41709552394644-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30308223,76.49330735,48,27,10_50,22,Good,Ward 4,Pravin More,Good
686,4,W41709552396089-akK0O,Gum Arabic Tree,Vachellia nilotica,19.3030835,76.49317726,41,23,10_50,18,Good,Ward 4,Pravin More,Good
687,4,W41709552396624-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30313096,76.49319906,49,28,10_50,22,Good,Ward 4,Pravin More,Good
688,4,W41709552397258-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30316735,76.49310853,65,37,10_50,29,Good,Ward 4,Pravin More,Good
689,4,W41709552400137-akK0O,Gum Arabic Tree,Vachellia nilotica,19.30313033,76.49308573,62,35,10_50,28,Good,Ward 4,Pravin More,Good
